YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2021,2021,OR,Oregon,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,48.4,48.4,,,41.3,55.6,Gender,Female,,,,,POINT (-120.15503132599969 44.56744942400047),,41,AST,AST6_1,CRDPREV,GENDER,GENF,,,,
2021,2021,PA,Pennsylvania,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,81.0,81.0,,,70.3,88.5,Gender,Female,,,,,POINT (-77.86070029399963 40.79373015200048),,42,AST,AST5_2,CRDPREV,GENDER,GENF,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,31.5,31.5,,,24.3,39.7,Gender,Male,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST6_1,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AR,Arkansas,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,6.7,6.7,,,5.4,8.5,Gender,Male,,,,,POINT (-92.27449074299966 34.74865012400045),,5,AST,AST1_1,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AZ,Arizona,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,37.6,37.6,,,31.5,44.2,Gender,Female,,,,,POINT (-111.76381127699972 34.865970280000454),,4,AST,AST6_1,CRDPREV,GENDER,GENF,,,,
2021,2021,FL,Florida,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,,,-,No data available,,,Gender,Male,,,,,POINT (-81.92896053899966 28.932040377000476),,12,AST,AST1_1,CRDPREV,GENDER,GENM,,,,
2021,2021,GU,Guam,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,4.9,4.9,,,3.1,7.6,Gender,Female,,,,,POINT (144.793731 13.444304),,66,AST,AST1_1,CRDPREV,GENDER,GENF,,,,
2021,2021,IN,Indiana,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,88.4,88.4,,,82.2,92.6,Gender,Female,,,,,POINT (-86.14996019399968 39.766910452000445),,18,AST,AST6_2,CRDPREV,GENDER,GENF,,,,
2021,2021,NH,New Hampshire,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Age-adjusted Prevalence,82.3,82.3,,,70.5,90.1,Gender,Male,,,,,POINT (-71.50036091999965 43.65595011300047),,33,AST,AST5_2,AGEADJPREV,GENDER,GENM,,,,
2021,2021,NH,New Hampshire,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,54.8,54.8,,,46.7,62.5,Gender,Female,,,,,POINT (-71.50036091999965 43.65595011300047),,33,AST,AST5_1,CRDPREV,GENDER,GENF,,,,
2021,2021,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,7.5,7.5,,,5.8,9.6,Gender,Male,,,,,POINT (-89.53803082499968 32.745510099000455),,28,AST,AST1_1,CRDPREV,GENDER,GENM,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,72.3,72.3,,,59.9,82.0,Gender,Male,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST5_2,CRDPREV,GENDER,GENM,,,,
2021,2021,TX,Texas,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,81.0,81.0,,,66.2,90.2,Gender,Male,,,,,POINT (-99.42677020599967 31.827240407000488),,48,AST,AST5_2,CRDPREV,GENDER,GENM,,,,
2021,2021,TX,Texas,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,67.3,67.3,,,55.7,77.1,Gender,Female,,,,,POINT (-99.42677020599967 31.827240407000488),,48,AST,AST5_2,CRDPREV,GENDER,GENF,,,,
2021,2021,UT,Utah,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,41.2,41.2,,,34.4,48.2,Gender,Male,,,,,POINT (-111.58713063499971 39.360700171000474),,49,AST,AST5_1,CRDPREV,GENDER,GENM,,,,
2021,2021,NJ,New Jersey,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,34.2,34.2,,,25.5,44.1,Gender,Female,,,,,POINT (-74.27369128799967 40.13057004800049),,34,AST,AST6_1,CRDPREV,GENDER,GENF,,,,
2021,2021,ND,North Dakota,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Age-adjusted Prevalence,84.7,84.7,,,73.4,91.8,Gender,Male,,,,,POINT (-100.11842104899966 47.47531977900047),,38,AST,AST5_2,AGEADJPREV,GENDER,GENM,,,,
2021,2021,WY,Wyoming,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.3,12.3,,,10.3,14.7,Gender,Female,,,,,POINT (-108.10983035299967 43.23554134300048),,56,AST,AST1_1,AGEADJPREV,GENDER,GENF,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST6_2,CRDPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,38.3,38.3,,,24.1,54.8,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_1,CRDPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,49.0,49.0,,,39.9,58.1,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST5_1,AGEADJPREV,GENDER,GENF,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST5_2,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,29.1,29.1,,,16.5,46.1,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST5_1,CRDPREV,GENDER,GENM,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,26.9,26.9,,,15.3,42.9,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST6_1,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Age-adjusted Prevalence,57.9,57.9,,,39.1,74.6,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST5_2,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Age-adjusted Prevalence,69.5,69.5,,,56.5,80.0,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_2,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,56.9,56.9,,,36.5,75.2,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_2,CRDPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,53.5,53.5,,,35.5,70.7,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST5_2,CRDPREV,GENDER,GENM,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,25.5,25.5,,,19.1,33.0,Gender,Female,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST6_1,AGEADJPREV,GENDER,GENF,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,64.1,64.1,,,51.9,74.7,Gender,Female,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST5_2,CRDPREV,GENDER,GENF,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,12.5,12.5,,,10.7,14.5,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,CRDPREV,GENDER,GENF,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,5.9,5.9,,,4.6,7.6,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.3,12.3,,,10.6,14.4,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,GENDER,GENF,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,40.4,40.4,,,27.8,54.5,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST5_1,CRDPREV,GENDER,GENM,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Age-adjusted Prevalence,62.2,62.2,,,49.8,73.2,Gender,Female,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST5_2,AGEADJPREV,GENDER,GENF,,,,
