YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2021,2021,OH,Ohio,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.7,10.7,,,9.9,11.5,Overall,Overall,,,,,POINT (-82.40426005599966 40.06021014100048),,39,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.3,8.3,,,7.7,9.0,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,ND,North Dakota,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,,%,Crude Prevalence,10.6,10.6,,,8.3,13.5,Overall,Overall,,,,,POINT (-100.11842104899966 47.47531977900047),,38,AST,AST1_2,CRDPREV,OVERALL,OVR,,,,
2021,2021,AZ,Arizona,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Age-adjusted Prevalence,82.3,82.3,,,74.3,88.2,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,4,AST,AST6_2,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,DC,District of Columbia,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,50.4,50.4,,,41.5,59.2,Overall,Overall,,,,,POINT (-77.036871 38.907192),,11,AST,AST5_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,SC,South Carolina,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.1,9.1,,,8.2,10.1,Overall,Overall,,,,,POINT (-81.04537120699968 33.998821303000454),,45,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,KS,Kansas,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,73.5,73.5,,,68.0,78.5,Overall,Overall,,,,,POINT (-98.20078122699965 38.34774030000045),,20,AST,AST5_2,CRDPREV,OVERALL,OVR,,,,
2021,2021,MA,Massachusetts,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,75.8,75.8,,,63.4,85.0,Overall,Overall,,,,,POINT (-72.08269067499964 42.27687047000046),,25,AST,AST5_2,CRDPREV,OVERALL,OVR,,,,
2021,2021,MA,Massachusetts,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,90.7,90.7,,,84.2,94.7,Overall,Overall,,,,,POINT (-72.08269067499964 42.27687047000046),,25,AST,AST6_2,CRDPREV,OVERALL,OVR,,,,
2021,2021,MI,Michigan,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,11.8,11.8,,,10.9,12.7,Overall,Overall,,,,,POINT (-84.71439026999968 44.6613195430005),,26,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,NC,North Carolina,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,,%,Crude Prevalence,11.6,11.6,,,9.3,14.5,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST1_2,CRDPREV,OVERALL,OVR,,,,
