YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2021,2021,OR,Oregon,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,48.4,48.4,,,41.3,55.6,Gender,Female,,,,,POINT (-120.15503132599969 44.56744942400047),,41,AST,AST6_1,CRDPREV,GENDER,GENF,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,31.5,31.5,,,24.3,39.7,Gender,Male,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST6_1,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,33.0,33.0,,,23.9,43.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_1,CRDPREV,RACE,WHT,,,,
2021,2021,AZ,Arizona,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,37.6,37.6,,,31.5,44.2,Gender,Female,,,,,POINT (-111.76381127699972 34.865970280000454),,4,AST,AST6_1,CRDPREV,GENDER,GENF,,,,
2021,2021,ND,North Dakota,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,45.6,45.6,,,37.5,54.0,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-100.11842104899966 47.47531977900047),,38,AST,AST6_1,CRDPREV,RACE,WHT,,,,
2021,2021,NJ,New Jersey,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,34.2,34.2,,,25.5,44.1,Gender,Female,,,,,POINT (-74.27369128799967 40.13057004800049),,34,AST,AST6_1,CRDPREV,GENDER,GENF,,,,
2021,2021,NC,North Carolina,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,29.1,29.1,,,18.1,43.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST6_1,CRDPREV,RACE,BLK,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,38.3,38.3,,,24.1,54.8,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_1,CRDPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_1,CRDPREV,RACE,MRC,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,17.5,17.5,,,9.7,29.6,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST6_1,CRDPREV,RACE,BLK,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,26.9,26.9,,,15.3,42.9,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST6_1,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_1,CRDPREV,RACE,HIS,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_1,AGEADJPREV,RACE,MRC,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST6_1,CRDPREV,RACE,MRC,,,,
