YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2021,2021,OH,Ohio,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,22.6,22.6,,,16.4,30.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-82.40426005599966 40.06021014100048),,39,AST,AST1_1,CRDPREV,RACE,MRC,,,,
2021,2021,OH,Ohio,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.7,10.7,,,9.9,11.5,Overall,Overall,,,,,POINT (-82.40426005599966 40.06021014100048),,39,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,OK,Oklahoma,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,20.2,20.2,,,14.6,27.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-97.52107021399968 35.47203135600046),,40,AST,AST1_1,CRDPREV,RACE,MRC,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.5,10.5,,,6.6,16.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST1_1,AGEADJPREV,RACE,MRC,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.3,8.3,,,7.7,9.0,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,PA,Pennsylvania,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,14.0,14.0,,,10.0,19.2,Race/Ethnicity,Hispanic,,,,,POINT (-77.86070029399963 40.79373015200048),,42,AST,AST1_1,CRDPREV,RACE,HIS,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,5.7,5.7,,,4.1,7.8,Race/Ethnicity,Hispanic,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST1_1,CRDPREV,RACE,HIS,,,,
2021,2021,SC,South Carolina,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.1,9.1,,,8.0,10.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-81.04537120699968 33.998821303000454),,45,AST,AST1_1,AGEADJPREV,RACE,WHT,,,,
2021,2021,AR,Arkansas,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,6.7,6.7,,,5.4,8.5,Gender,Male,,,,,POINT (-92.27449074299966 34.74865012400045),,5,AST,AST1_1,AGEADJPREV,GENDER,GENM,,,,
2021,2021,FL,Florida,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,,,-,No data available,,,Gender,Male,,,,,POINT (-81.92896053899966 28.932040377000476),,12,AST,AST1_1,CRDPREV,GENDER,GENM,,,,
2021,2021,GU,Guam,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,4.9,4.9,,,3.1,7.6,Gender,Female,,,,,POINT (144.793731 13.444304),,66,AST,AST1_1,CRDPREV,GENDER,GENF,,,,
2021,2021,SC,South Carolina,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.1,9.1,,,8.2,10.1,Overall,Overall,,,,,POINT (-81.04537120699968 33.998821303000454),,45,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,IL,Illinois,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,9.7,9.7,,,5.6,16.4,Race/Ethnicity,Hispanic,,,,,POINT (-88.99771017799969 40.48501028300046),,17,AST,AST1_1,CRDPREV,RACE,HIS,,,,
2021,2021,SD,South Dakota,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,6.6,6.6,,,4.2,10.5,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),,46,AST,AST1_1,CRDPREV,RACE,OTH,,,,
2021,2021,MI,Michigan,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,11.8,11.8,,,10.9,12.7,Overall,Overall,,,,,POINT (-84.71439026999968 44.6613195430005),,26,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,7.5,7.5,,,5.8,9.6,Gender,Male,,,,,POINT (-89.53803082499968 32.745510099000455),,28,AST,AST1_1,CRDPREV,GENDER,GENM,,,,
2021,2021,NV,Nevada,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,11.2,11.2,,,8.9,14.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-117.07184056399967 39.493240390000494),,32,AST,AST1_1,AGEADJPREV,RACE,WHT,,,,
2021,2021,PR,Puerto Rico,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-66.590149 18.220833),,72,AST,AST1_1,CRDPREV,RACE,MRC,,,,
2021,2021,SD,South Dakota,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.6,8.6,,,6.9,10.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),,46,AST,AST1_1,AGEADJPREV,RACE,WHT,,,,
2021,2021,NC,North Carolina,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.5,8.5,,,7.2,9.9,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST1_1,AGEADJPREV,RACE,WHT,,,,
2021,2021,WY,Wyoming,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.3,12.3,,,10.3,14.7,Gender,Female,,,,,POINT (-108.10983035299967 43.23554134300048),,56,AST,AST1_1,AGEADJPREV,GENDER,GENF,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,13.8,13.8,,,8.5,21.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,CRDPREV,RACE,MRC,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.1,10.1,,,8.5,11.9,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,AGEADJPREV,RACE,WHT,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,CRDPREV,RACE,BLK,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,RACE,MRC,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.9,8.9,,,7.8,10.1,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.5,8.5,,,6.5,11.1,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,RACE,OTH,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,AGEADJPREV,RACE,OTH,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,9.0,9.0,,,7.9,10.2,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,CRDPREV,OVERALL,OVR,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,RACE,BLK,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,12.5,12.5,,,10.7,14.5,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,CRDPREV,GENDER,GENF,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,5.9,5.9,,,4.6,7.6,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.3,12.3,,,10.6,14.4,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,GENDER,GENF,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,10.7,10.7,,,8.5,13.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,RACE,BLK,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,5.9,5.9,,,4.6,7.6,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,11.6,11.6,,,6.7,19.2,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,CRDPREV,RACE,HIS,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.0,10.0,,,8.8,11.4,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,RACE,OTH,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,5.8,5.8,,,4.7,7.2,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,GENDER,GENM,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,8.3,8.3,,,7.2,9.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,CRDPREV,RACE,WHT,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,13.8,13.8,,,12.1,15.8,Gender,Female,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,GENDER,GENF,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.5,10.5,,,8.4,13.2,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,AGEADJPREV,RACE,BLK,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,10.1,10.1,,,8.9,11.3,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,OVERALL,OVR,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.4,13.4,,,8.3,20.9,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,AGEADJPREV,RACE,MRC,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,9.9,9.9,,,8.5,11.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,RACE,WHT,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.0,13.0,,,8.2,20.0,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,RACE,MRC,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,20.1,20.1,,,11.2,33.4,Race/Ethnicity,Hispanic,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,AGEADJPREV,RACE,HIS,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.8,13.8,,,11.9,15.9,Gender,Female,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,AGEADJPREV,GENDER,GENF,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,POINT (-86.63186076199969 32.84057112200048),,1,AST,AST1_1,CRDPREV,RACE,HIS,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.3,8.3,,,7.1,9.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST1_1,AGEADJPREV,RACE,WHT,,,,
