YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2021,2021,OH,Ohio,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,22.6,22.6,,,16.4,30.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-82.40426005599966 40.06021014100048),,39,AST,AST1_1,CRDPREV,RACE,MRC,,,,
2021,2021,OK,Oklahoma,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,20.2,20.2,,,14.6,27.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-97.52107021399968 35.47203135600046),,40,AST,AST1_1,CRDPREV,RACE,MRC,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.5,10.5,,,6.6,16.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST1_1,AGEADJPREV,RACE,MRC,,,,
2021,2021,PA,Pennsylvania,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,14.0,14.0,,,10.0,19.2,Race/Ethnicity,Hispanic,,,,,POINT (-77.86070029399963 40.79373015200048),,42,AST,AST1_1,CRDPREV,RACE,HIS,,,,
2021,2021,NE,Nebraska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,5.7,5.7,,,4.1,7.8,Race/Ethnicity,Hispanic,,,,,POINT (-99.36572062299967 41.6410409880005),,31,AST,AST1_1,CRDPREV,RACE,HIS,,,,
2021,2021,SC,South Carolina,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.1,9.1,,,8.0,10.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-81.04537120699968 33.998821303000454),,45,AST,AST1_1,AGEADJPREV,RACE,WHT,,,,
2021,2021,AK,Alaska,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,33.0,33.0,,,23.9,43.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,2,AST,AST6_1,CRDPREV,RACE,WHT,,,,
2021,2021,CA,California,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-120.99999953799971 37.63864012300047),,6,AST,AST1_2,CRDPREV,RACE,BLK,,,,
2021,2021,GU,Guam,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Age-adjusted Prevalence,,,-,No data available,,,Race/Ethnicity,Hispanic,,,,,POINT (144.793731 13.444304),,66,AST,AST6_2,AGEADJPREV,RACE,HIS,,,,
2021,2021,HI,Hawaii,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,,%,Crude Prevalence,12.4,12.4,,,8.5,17.8,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),,15,AST,AST1_2,CRDPREV,RACE,MRC,,,,
